"Sample","Date","Customer","Product","Grade","Client_Code","Analysis","Name","Unit","Type","A","B","diff","Mean","horwitz","Prod2","sqr","f5"
5852008,"10/01/2014 05:21:55 PM","MRWYPD","MISC_FOOD","NONE","SAMPLES 110712 TO 110721","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",0.6401412726,0.62745863,-0.0126826426,0.6337999513,0.0271532211516621,"MISC_FOOD",0.000160849423319334,-0.0126826426
5852008,"10/01/2014 05:21:55 PM","MRWYPD","MISC_FOOD","NONE","SAMPLES 110712 TO 110721","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",0.6401412726,0.6343042071,-0.00583706549999996,0.63722273985,0.0272777381845302,"MISC_FOOD",3.40713336512898e-05,-0.00583706549999996
5915438,"31/01/2014 04:13:30 PM","U4","MEAT_BONE","MEATMEAL","2014000726 TO 2014000732 MEALS/POWDERS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",27.683929202,27.447989354,-0.235939848000001,27.565959278,0.669322378995905,"MEAT_BONE",0.0556676118742636,-0.235939848000001
5915438,"31/01/2014 04:13:30 PM","U4","MEAT_BONE","MEATMEAL","2014000726 TO 2014000732 MEALS/POWDERS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",27.683929202,27.517829767,-0.166099435000003,27.6008794845,0.670042579414189,"MEAT_BONE",0.0275890223073203,-0.166099435000003
5995025,"27/02/2014 12:27:51 PM","SUBWAY","MEAT_PROD","A004540C","A004540C SLICED HAM","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.5050814811,3.4593688408,-0.0457126403000001,3.48222516095,0.115440781475597,"MEAT_PROD",0.00208964548319719,-0.0457126403000001
5995025,"27/02/2014 12:27:51 PM","SUBWAY","MEAT_PROD","A004540C","A004540C SLICED HAM","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.5050814811,3.4790301755,-0.0260513055999998,3.4920558283,0.115717570551218,"MEAT_PROD",0.000678670523464581,-0.0260513055999998
6041957,"15/03/2014 11:32:19 AM","AUKADC","CEREAL_PRD","NONE","444533 COLES SAVOURY FLAKES 200g x 2 USE BY 20/8/2014 & 1/7/2014","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",7.5450370894,7.4304609998,-0.1145760896,7.4877490446,0.221211800521879,"CEREAL_PRD",0.0131276803080272,-0.1145760896
6100707,"04/04/2014 08:21:06 AM","U5B","CEREAL_PRD","PSYLLIUM_H","2014001657 PSYLLIUM HUSK","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.244729033,11.191520468,-0.0532085650000003,11.2181247505,0.31185413730928,"CEREAL_PRD",0.00283115138935925,-0.0532085650000003
6100707,"04/04/2014 08:21:06 AM","U5B","CEREAL_PRD","PSYLLIUM_H","2014001657 PSYLLIUM HUSK","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.244729033,11.213464124,-0.0312649090000008,11.2290965785,0.312113217373381,"CEREAL_PRD",0.00097749453477833,-0.0312649090000008
6101573,"04/04/2014 10:51:24 AM","N8","FAECES","NONE","14.058 DOG 28 WHOLE OATS - LOTUS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",40.127808699,39.764780674,-0.363028024999998,39.9462946865,0.917255365140803,"FAECES",0.131789346935399,-0.363028024999998
6101573,"04/04/2014 10:51:24 AM","N8","FAECES","NONE","14.058 DOG 28 WHOLE OATS - LOTUS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",40.127808699,40.14602141,0.0182127110000039,40.1369150545,0.920972283913597,"FAECES",0.000331702841969662,0.0182127110000039
6228697,"19/05/2014 12:17:25 PM","AUREFO","CEREAL_PRD","NONE","RICE & CORN THINS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.1062519735,2.9674292132,-0.1388227603,3.03684059335,0.102770919362789,"CEREAL_PRD",0.0192717587773113,-0.1388227603
6228697,"19/05/2014 12:17:25 PM","AUREFO","CEREAL_PRD","NONE","RICE & CORN THINS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.1062519735,2.9907931606,-0.1154588129,3.04852256705,0.103106652822254,"CEREAL_PRD",0.0133307374762772,-0.1154588129
6228697,"19/05/2014 12:17:25 PM","AUREFO","CEREAL_PRD","NONE","RICE & CORN THINS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",2.9674292132,2.9907931606,0.0233639474,2.9791111869,0.101108936693771,"CEREAL_PRD",0.000545874038109968,0.0233639474
6300319,"11/06/2014 05:50:26 PM","AUPPDS","CEREAL_PRD","BAKERMEAL","BAKERS MEAL IN140174 Manildra","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.0967236533,1.1143210896,0.0175974363,1.10552237145,0.0435582034696189,"CEREAL_PRD",0.000309669764332557,0.0175974363
6300319,"11/06/2014 05:50:26 PM","AUPPDS","CEREAL_PRD","BAKERMEAL","BAKERS MEAL IN140174 Manildra","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.0967236533,1.1198922635,0.0231686101999999,1.1083079584,0.0436514199233052,"CEREAL_PRD",0.000536784498599541,0.0231686101999999
6300412,"11/06/2014 06:07:12 PM","AUPPDS","CEREAL_PRD","SOYFLOURF","SOY PROTEIN CONCENTRATE IN 100614 ADM","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",5.9367634633,5.9716157205,0.0348522571999998,5.9541895919,0.182079150999317,"CEREAL_PRD",0.00121467983193494,0.0348522571999998
6300412,"11/06/2014 06:07:12 PM","AUPPDS","CEREAL_PRD","SOYFLOURF","SOY PROTEIN CONCENTRATE IN 100614 ADM","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",5.9367634633,6.0840140821,0.1472506188,6.0103887727,0.183538018243278,"CEREAL_PRD",0.021682744736983,0.1472506188
6397403,"15/07/2014 11:32:08 AM","SRS","MEATP_RAW","NONE","PLU 8802 - STICKY BBQ PORK RIBS BBD: 21/07/2014 COMPOSITE OF 3","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.5072790549,1.5283234848,0.0210444299000001,1.51780126985,0.0570163407247777,"MEATP_RAW",0.000442868029816018,0.0210444299000001
6397403,"15/07/2014 11:32:08 AM","SRS","MEATP_RAW","NONE","PLU 8802 - STICKY BBQ PORK RIBS BBD: 21/07/2014 COMPOSITE OF 3","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.5072790549,1.5470902012,0.0398111463000002,1.52718462805,0.0573156338990614,"MEATP_RAW",0.00158492736972002,0.0398111463000002
6538125,"29/08/2014 02:56:54 PM","GFCPAG","PASTA","NONE","45355 COLES Ham & Cheese Tortellini 625g-RAW PROCESSING (by DTS) UB: 03/10/2014 DOM 29/08/2014 13.26,13.49,14.02","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.8279356249,1.8197617952,-0.00817382970000002,1.82384871005,0.0666447696880103,"PASTA",6.68114919646025e-05,-0.00817382970000002
6538125,"29/08/2014 02:56:54 PM","GFCPAG","PASTA","NONE","45355 COLES Ham & Cheese Tortellini 625g-RAW PROCESSING (by DTS) UB: 03/10/2014 DOM 29/08/2014 13.26,13.49,14.02","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.8279356249,1.893112724,0.0651770991,1.86052417445,0.0677814959335025,"PASTA",0.00424805424709122,0.0651770991
6768541,"06/11/2014 12:57:47 PM","U4","FAECES","CATFAECES","2014005320 TO 2014005325 CAT FAECES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",42.250416381,42.13806556,-0.112350821,42.1942409705,0.960922121496131,"FAECES",0.012622706979374,-0.112350821
6768541,"06/11/2014 12:57:47 PM","U4","FAECES","CATFAECES","2014005320 TO 2014005325 CAT FAECES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",42.250416381,42.223245109,-0.0271712720000039,42.236830745,0.961745999845452,"FAECES",0.000738278022098197,-0.0271712720000039
6795798,"14/11/2014 10:21:06 AM","AUPPDS","MEAT_PROD","MISC","BEEF WEASAND RM110024 G&J Hines","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",5.2335592999,5.0258457444,-0.2077135555,5.12970252215,0.160425221971592,"MEAT_PROD",0.0431449211384515,-0.2077135555
6795798,"14/11/2014 10:21:06 AM","AUPPDS","MEAT_PROD","MISC","BEEF WEASAND RM110024 G&J Hines","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",5.2335592999,5.0260725902,-0.207486709699999,5.12981594505,0.160428235228831,"MEAT_PROD",0.0430507347021319,-0.207486709699999
6935053,"23/12/2014 03:36:36 PM","AUMCF","HERB_SPICE","HERBSPICES","HERBS AND SPICES  5 TO 9","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",99.814650657,99.771293041,-0.0433576159999944,99.792971849,1.99648210536105,"HERB_SPICE",0.00187988286520297,-0.0433576159999944
6935053,"23/12/2014 03:36:36 PM","AUMCF","HERB_SPICE","HERBSPICES","HERBS AND SPICES  5 TO 9","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",99.814650657,99.849033816,0.0343831590000008,99.8318422365,1.99714268825399,"HERB_SPICE",0.00118220162281933,0.0343831590000008
7013627,"21/01/2015 01:45:07 PM","I7","SUG_STARCH","SUGAR","INDUSTRIAL PURE, SOFT, TCP, 60/40 & RETAIL PURE SUGAR SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",95.841496322,96.362668559,0.521172237000002,96.1020824405,1.9335783156369,"SUG_STARCH",0.271620500619586,0.521172237000002
7013627,"21/01/2015 01:45:07 PM","I7","SUG_STARCH","SUGAR","INDUSTRIAL PURE, SOFT, TCP, 60/40 & RETAIL PURE SUGAR SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",95.841496322,96.420638677,0.579142355000002,96.1310674995,1.93407370766801,"SUG_STARCH",0.335405867354948,0.579142355000002
